Country,Date,Cases
Australia,2020-04-01,4862
Australia,2020-04-02,5116
Australia,2020-04-03,5330
Australia,2020-04-04,5550
Australia,2020-04-05,5687
Australia,2020-04-06,5797
Australia,2020-04-07,5895
Australia,2020-04-08,6010
Australia,2020-04-09,6108
Australia,2020-04-10,6215
Australia,2020-04-11,6303
Australia,2020-04-12,6315
Australia,2020-04-13,6351
Australia,2020-04-14,6415
Australia,2020-04-15,6440
Australia,2020-04-16,6462
Australia,2020-04-17,6522
Australia,2020-04-18,6568
Australia,2020-04-19,6610
Australia,2020-04-20,6623
Australia,2020-04-21,6645
Australia,2020-04-22,6652
Australia,2020-04-23,6662
Australia,2020-04-24,6677
Australia,2020-04-25,6694
Australia,2020-04-26,6714
Australia,2020-04-27,6721
Australia,2020-04-28,6744
Australia,2020-04-29,6752
Australia,2020-04-30,6766
Australia,2020-05-01,6778
Italy,2020-04-01,110574
Italy,2020-04-02,115242
Italy,2020-04-03,119827
Italy,2020-04-04,124632
Italy,2020-04-05,128948
Italy,2020-04-06,132547
Italy,2020-04-07,135586
Italy,2020-04-08,139422
Italy,2020-04-09,143626
Italy,2020-04-10,147577
Italy,2020-04-11,152271
Italy,2020-04-12,156363
Italy,2020-04-13,159516
Italy,2020-04-14,162488
Italy,2020-04-15,165155
Italy,2020-04-16,168941
Italy,2020-04-17,172434
Italy,2020-04-18,175925
Italy,2020-04-19,178972
Italy,2020-04-20,181228
Italy,2020-04-21,183957
Italy,2020-04-22,187327
Italy,2020-04-23,189973
Italy,2020-04-24,192994
Italy,2020-04-25,195351
Italy,2020-04-26,197675
Italy,2020-04-27,199414
Italy,2020-04-28,201505
Italy,2020-04-29,203591
Italy,2020-04-30,205463
Italy,2020-05-01,207428
US,2020-04-01,227903
US,2020-04-02,260183
US,2020-04-03,292630
US,2020-04-04,324340
US,2020-04-05,353117
US,2020-04-06,385110
US,2020-04-07,415256
US,2020-04-08,446500
US,2020-04-09,482526
US,2020-04-10,516707
US,2020-04-11,545693
US,2020-04-12,571551
US,2020-04-13,598794
US,2020-04-14,627306
US,2020-04-15,653669
US,2020-04-16,683351
US,2020-04-17,716508
US,2020-04-18,743857
US,2020-04-19,768888
US,2020-04-20,799531
US,2020-04-21,825478
US,2020-04-22,855445
US,2020-04-23,887523
US,2020-04-24,919014
US,2020-04-25,949640
US,2020-04-26,975537
US,2020-04-27,1000230
US,2020-04-28,1024834
US,2020-04-29,1051643
US,2020-04-30,1081150
US,2020-05-01,1115972
Vietnam,2020-04-01,218
Vietnam,2020-04-02,233
Vietnam,2020-04-03,237
Vietnam,2020-04-04,240
Vietnam,2020-04-05,241
Vietnam,2020-04-06,245
Vietnam,2020-04-07,249
Vietnam,2020-04-08,251
Vietnam,2020-04-09,255
Vietnam,2020-04-10,257
Vietnam,2020-04-11,258
Vietnam,2020-04-12,262
Vietnam,2020-04-13,265
Vietnam,2020-04-14,266
Vietnam,2020-04-15,267
Vietnam,2020-04-16,268
Vietnam,2020-04-17,268
Vietnam,2020-04-18,268
Vietnam,2020-04-19,268
Vietnam,2020-04-20,268
Vietnam,2020-04-21,268
Vietnam,2020-04-22,268
Vietnam,2020-04-23,268
Vietnam,2020-04-24,270
Vietnam,2020-04-25,270
Vietnam,2020-04-26,270
Vietnam,2020-04-27,270
Vietnam,2020-04-28,270
Vietnam,2020-04-29,270
Vietnam,2020-04-30,270
Vietnam,2020-05-01,270
